Code,Company,Market Cap,Sector
ASX:PGH,Pact Group Holdings,1.28B,Materials
ASX:CQE,Charter Hall Social Infrastructure REIT,1.28B,Real Estate
ASX:ZEL,Z Energy Limited,1.28B,Energy
ASX:WLE,WAM Leaders Limited,1.27B,Financials
ASX:HSN,Hansen Technologies Limited,1.27B,Information Technology
ASX:MGH,MAAS Group Holdings Limited,1.26B,Industrials
ASX:GOR,Gold Road Resources,1.26B,Materials
ASX:SFR,Sandfire Resources Limited,1.26B,Materials
ASX:EML,EML Payments Limited,1.26B,Information Technology
ASX:COF,Centuria Office Reit,1.22B,Real Estate
ASX:ARF,Arena REIT,1.2B,Real Estate
ASX:AUI,Australian United Investment Company,1.2B,Financials
ASX:GNC,GrainCorp,1.18B,Consumer Staples
ASX:GMA,Genworth Mortgage Insurance,1.18B,Financials
ASX:ISX,iSignthis Limited,1.18B,Information Technology
ASX:PPM,Pepper Money Limited,1.17B,Financials
ASX:GUD,GUD Holdings Limited,1.17B,Consumer Discretionary
ASX:URW,Unibail-Rodamco-Westfield,1.15B,Real Estate
ASX:MSB,Mesoblast,1.15B,Health Care
ASX:FCL,Fineos Corporation Holdings,1.15B,Information Technology
ASX:BKI,BKI Investment Company,1.13B,Financials
ASX:NWS,News Corporation,1.13B,Communication Services
ASX:LTR,Liontown Resources,1.11B,Materials
ASX:CCX,City Chic Collective Limited,1.1B,Consumer Discretionary
ASX:PSI,PSC Insurance Group,1.09B,Financials
ASX:KGN,Kogan.com Ltd,1.08B,Consumer Discretionary
ASX:KMD,Kathmandu Holdings Limited,1.06B,Consumer Discretionary
ASX:MAQ,Macquarie Telecom Group,1.06B,Communication Services
ASX:DBI,Dalrymple Bay Infrastructure Limited,1.06B,Industrials
ASX:HGH,Heartland Group Holdings,1.05B,Financials
ASX:OBL,Omni Bridgeway Limited,1.04B,Financials
ASX:DUI,Diversified United Investment Limited,1.02B,Financials
ASX:IDX,Integral Diagnostics Limited,1.02B,Health Care
ASX:OML,oOh!media Limited,1.01B,Communication Services
ASX:RMC,Resimac Group Limited,1.01B,Financials
